question_text,option_a,option_b,option_c,option_d,correct_answer,level
My brother ___ a doctor in a big hospital.,am,is,are,be,option_b,A1
Where ___ you from?,do,is,are,am,option_c,A1
I have two ___ and one sister.,brother,brothers,brotheres,brothers',option_b,A1
She ___ coffee every morning.,drink,drinks,drinking,is drink,option_b,A1
___ is your favorite color?,Who,Where,What,When,option_c,A1
I ___ to the cinema with my friends yesterday.,go,gone,goes,went,option_d,A2
This bag is ___ than the blue one.,heavyer,more heavy,heavier,heaviest,option_c,A2
Have you ___ been to London?,ever,never,yet,already,option_a,A2
"If it rains, we ___ stay at home.",will,would,are,did,option_a,A2
There isn't ___ milk in the fridge.,some,many,any,a,option_c,A2
I was tired because I ___ all day.,have worked,had been working,am working,work,option_b,B1
You ___ smoke here; it's strictly forbidden.,shouldn't,mustn't,don't have to,couldn't,option_b,B1
The man ___ lives next door is very friendly.,which,who,whom,whose,option_b,B1
I'm looking forward to ___ you next week.,see,saw,seeing,seen,option_c,B1
That cake ___ by my grandmother yesterday.,made,was made,is made,has made,option_b,B1
"By this time next year, I ___ my degree.",will finish,will have finished,finish,am finishing,option_b,B2
I wish I ___ more time to travel last summer.,have,had,had had,would have,option_c,B2
"Despite ___ the map, we still got lost.",study,studied,studying,we studied,option_c,B2
"You'd better leave now, ___ you'll miss the train.",unless,otherwise,although,despite,option_b,B2
Neither the teacher ___ the students were happy.,or,and,nor,but,option_c,B2
Hardly ___ the office when the phone rang.,I had left,had I left,I left,was I leaving,option_b,C1
He is believed ___ the crime alone.,to commit,committing,to have committed,having committed,option_c,C1
We need to ___ the problem from a different angle.,approach,encroach,reproach,poaching,option_a,C1
There is no ___ in denying that the economy is failing.,use,point,help,way,option_b,C1
"Had it not been for your help, I ___.",would fail,will fail,would have failed,failed,option_c,C1
The CEO's remarks were ___ with controversy.,fraught,filled,caught,brought,option_a,C2
She has an ___ ability to predict market trends.,uncanny,unearthly,unbearable,unstable,option_a,C2
Little ___ that the surprise was actually for him.,he knew,did he know,he had known,was he knowing,option_b,C2
The agreement was reached after ___ negotiations.,lengthy,protracted,long,lasting,option_b,C2
"To all ___ and purposes, the project is complete.",intents,reasons,goals,views,option_a,C2
